text,label
încă trecut număr feric,3
rosu,3
frumoas arăț frumoaso,3
feric extaz dus covoareleee pun mîn aspir tavan pereț no ste aspir degeab bat joc ban davaiii neau furat răpir sera dreaq rembranz monez dispar păgub unapwp,4
aveam număr ani cred roman singur limb lum exist injuratur dat auzeam injurand complet dezgust,3
prințes frumoas sexxxxyyy,0
ionic clip team văzut oar știut vei băiat visur băiețel penis cucer inim pământ iubir etern vreau ști,0
coronavirus român număr iun număr număr dec înregistr ultim număr ore,3
ieș cas,4
corp mod toamn somn devrem chef band,3
singur part biolog dreptur genet,3
trebui rușin așa arat tip full keep,3
duc bemoldin poț prim feric cadourulet număr metriicompresorbreloc lantern noroc găin electr,3
stiu interes austriec declar neutr ww număr aveau prezent mar diplom soviet,3
plac feme natural,1
tem sar peșt direct gur,3
sadly nevoit primeșt ambe,3
sincer arat chei fix inspirandum ide repar des,3
licur fund emoț,3
bun ziu pt oportun dor migr mgstaking trebui aștept număr zil eventual semnal moment privat,3
pericol mic merg singur deal vacanț jucam fotbal dimineaț sear liceu merg prolas căil caraș mînc băut ascuns părinț stăt sălașur crașoven știam protej viper,3
updat cat inteles,3
întrun anum calm organist flux dur săptămân oamen trăi flux lun întreg ani șir aceșt așa numiț maeștriiluminaț vorb scriu cărț fiind inspiraț divin,3
cristian vin tactu bat slapu vorb capac zic batai viat decat luat bătai,4
bucureșten put gunoai purtaț masc sper mușcătur căpuș vaccin auzit vreț șobolan pisic,4
pus dans interviu fet univ romanoamerican deschis korean corner,3
așa doresc,3
tripp uzi juic cart,3
soar planet traiest uitat arat atât ploai,3
ofert împrum rapid fiabil puțin număr ore lasăn mesaj detal whatsapp număr număr număr număr număr număr,3
baft învăț ion fix primit,3
tr mut cuv autor roman even istor las,3
cafeau bea lapt bea,3
dimineaț dormit loc scriu japonez,3
spun ieftin decat cain,3
epoc ani număr seamăn mod fustiț rochiț min pantalon evazaț mod italian mode hipp oprit război vietn sex promov globaliz distrug tineret,3
cop fac echip roman,3
clas facut problem directoar fix an termin,3
vreau caf neagr inim dulc,3
singur chest țin întreag cap fapt trebui fac grij intrar facult înnebun,4
grab anunț chest nuanț pozit trend comis amazing news for european citizens great news for etc neatent calc fraier propr optimist lipeșt talp,3
roman educ vaccin aplauz aaaa sta port mic gratis,4
așa întâmpl car sticl alți bucur conțin,3
arat iubir vieț lasăl resp,3
coai pul vre zic,4
observ alin dimineaț,3
andre gîrtofan subaru imprez număr ajut dreapt doru vraj impus clas rc număr ral maramureș,3
ok aștepț puțin vez întâmpl mec rei pui cadru nevast sor om prăbuș teren inconștient plâng,3
așa,3
așa auzisem sper ies cătălin,3
bătrân stabil țint vis încă vis lewis,3
serveșt livret militar război aproap vre ști livret famil,3
bro forț leaker vin sez uit tn respect,3
coai clotild imbecil grav ban spital cop pul inta las burs distrug sectoru număr acu fac,4
stochast rsi număr w arat urmeaz bulish ved,3
salut deciz ungar împotr conduc ue perfect dreptat ue respect dreptur leg evrei criminal popoar ue,4
cart drop the delux,3
fat drăguț roș obraj genunch,1
duten pul copil cruncix,4
corin dou oar lu harpalet mișto măgeanu dat viitoar răspunde stănciulescu puțin făț vez titan vals ps stă,3
oh lol cred onlin med veterin,3
temperatur număr °c umid relat număr presiun atmosfer număr hpa punct rou număr °c,3
asti pun patratelu rosu comedioar sexy invet cop sio gradin,4
faț drăguț distrag frez,4
așa fac floor număr,3
liceu târziu copii învaț corp omen ore anatom școal general opin an treb înceap educaț sexual,3
the ultim diet soup delic,3
dimin cristin caf lum,3
coai panic invat roman inchei medi raspund simt turb fac,4
plecat număr relu cur incerc tai curb perez mexican apar cart singur variant tefelist porumb,4
fac săptămîn viitoar mercur retrograd clar conspiraț astral,3
